<DTYYYYMMDD>,<CLOSE>
20120108,1000
20120109,1000
20120110,1000
20120111,1000
20120115,1000
20120116,1000
20120117,1000
20120118,1000
20120121,1000
20120123,1000
20120125,1000
20120128,1000
20120129,1000
20120130,1000
20120131,1000
20120201,1000
20120204,1000
20120205,1000
20120206,1000
20120207,1000
20120208,1000
20120212,1000
20120213,1000
20120214,1000
20120215,1000
20120218,1000
20120219,1000
20120220,1000
20120221,1000
20120222,1000
20120225,1000
20120226,1000
20120227,1000
20120228,1000
20120229,1000
20120303,1000
20120304,1000
20120305,1000
20120306,1000
20120307,1000
20120310,1000
20120311,1000
20120312,1000
20120313,1000
20120314,1000
20120317,1000
20120318,1000
20120324,1000
20120325,1000
20120326,1000
20120327,1000
20120328,1000
20120402,1000
20120403,1000
20120404,1000
20120407,1000
20120408,1000
20120409,1000
20120410,1000
20120411,1000
20120414,1000
20120415,1000
20120416,1000
20120417,1000
20120418,1000
20120421,2161
20120422,2194
20120423,2194
20120424,2194
20120428,2194
20120429,2023
20120430,2020
20120501,2028
20120502,1989
20120505,1950
20120506,1938
20120507,1923
20120508,1912
20120509,1909
20120512,1918
20120513,1901
20120514,1904
20120515,1908
20120516,1936
20120519,1901
20120520,1903
20120521,1902
20120522,1926
20120523,1950
20120526,1951
20120527,1965
20120528,1941
20120529,1913
20120530,1939
20120602,1926
20120605,1931
20120606,1936
20120609,1918
20120610,1900
20120611,1916
20120612,1901
20120613,1900
20120616,1905
20120617,1932
20120619,1912
20120620,1905
20120623,1910
20120624,1900
20120625,1901
20120626,1902
20120627,1898
20120630,1900
20120701,1900
20120702,1903
20120703,1900
20120704,1925
20120707,1926
20120708,1917
20120709,1918
20120710,1903
20120711,1920
20120714,1927
20120715,1906
20120716,1939
20120717,1928
20120718,1944
20120721,1920
20120722,1915
20120723,1936
20120724,1941
20120725,1938
20120728,1921
20120729,1935
20120730,1929
20120731,1927
20120801,1921
20120804,1912
20120805,1900
20120806,1899
20120807,1899
20120808,1868
20120811,1874
20120812,1885
20120813,1858
20120814,1899
20120815,1899
20120818,1876
20120821,1900
20120822,1900
20120825,1899
20120826,1896
20120827,1901
20120902,1905
20120903,1906
20120904,1906
20120905,1902
20120908,1901
20120909,1900
20120910,1900
20120911,1900
20120915,1900
20120916,1922
20120917,1909
20120918,1909
20120919,1904
20120922,1902
20120923,1929
20120924,1904
20120925,1906
20120926,1913
20120929,1937
20120930,1946
20121001,1910
20121002,1939
20121003,1912
20121006,1949
20121007,1948
20121008,1937
20121009,1937
20121010,1917
20121013,1920
20121014,1923
20121015,1946
20121016,1950
20121017,1966
20121020,1992
20121021,1944
20121022,1942
20121023,1944
20121024,1960
20121027,2013
20121028,2017
20121029,2012
20121030,2031
20121031,2032
20121104,2032
20121105,2072
20121106,2036
20121107,2093
20121110,2091
20121111,2079
20121112,2081
20121113,2046
20121114,2096
20121117,2100
20121118,2031
20121119,2107
20121120,2107
20121121,2098
20121126,2095
20121127,2098
20121128,2089
20121201,2089
20121202,2084
20121203,2082
20121204,2090
20121205,2074
20121208,2076
20121209,2078
20121210,2037
20121211,2092
20121212,2081
20121215,2101
20121216,2102
20121217,2102
20121218,2103
20121219,2103
20121222,2103
20121223,2103
20121224,2103
20121225,2103
20121226,2103
20121229,2103
20121230,2103
20121231,2082
20130101,2055
20130102,2059
20130106,2031
20130107,2077
20130108,2022
20130109,2033
20130113,2094
20130114,2041
20130115,2042
20130116,2088
20130119,2094
20130120,2100
20130121,2057
20130122,2041
20130123,2041
20130126,2041
20130127,2041
20130128,1825
20130130,1825
20130202,1825
20130203,1815
20130204,1833
20130205,1838
20130206,1840
20130209,1932
20130211,1936
20130212,1944
20130213,1951
20130216,1945
20130217,1945
20130218,1986
20130219,1992
20130220,1997
20130223,1998
20130224,1998
20130225,1998
20130226,1998
20130227,1899
20130302,1850
20130303,1834
20130304,1900
20130305,1979
20130306,2003
20130309,2003
20130310,2009
20130311,2009
20130312,2030
20130313,2030
20130316,2051
20130317,2112
20130318,2207
20130325,2207
20130326,2226
20130327,2317
20130330,2328
20130331,2309
20130403,2424
20130406,2465
20130407,2348
20130408,2352
20130409,2366
20130410,2369
20130413,2391
20130415,2398
20130416,2426
20130417,2426
20130420,2528
20130421,2523
20130422,2526
20130423,2627
20130424,2638
20130427,2697
20130428,2697
20130429,2722
20130430,2728
20130501,2770
20130504,2770
20130505,2789
20130506,2719
20130507,2742
20130508,2738
20130511,2782
20130512,2826
20130513,2826
20130514,2826
20130515,2826
20130518,2586
20130519,2589
20130520,2589
20130521,2589
20130522,2599
20130525,2604
20130526,2607
20130527,2610
20130528,2614
20130529,2629
20130601,2629
20130602,2629
20130603,2691
20130608,2721
20130609,2721
20130610,2710
20130611,2656
20130612,2751
20130615,2751
20130616,2799
20130617,2877
20130618,2871
20130619,2871
20130622,2976
20130623,3004
20130625,3004
20130626,3030
20130629,3033
20130630,3030
20130701,3082
20130702,3096
20130703,3099
20130706,3091
20130707,3181
20130708,3260
20130709,3196
20130710,3262
20130713,3271
20130714,3270
20130715,3327
20130716,3404
20130717,3418
20130720,3401
20130721,3409
20130722,3423
20130723,3453
20130724,3445
20130727,3503
20130728,3513
20130729,3421
20130731,3312
20130803,3305
20130804,3305
20130805,3467
20130806,3559
20130807,3722
20130811,3629
20130812,3547
20130813,3551
20130814,3714
20130817,3714
20130818,3714
20130819,3714
20130820,3714
20130821,3714
20130824,3220
20130825,3220
20130826,3220
20130827,3220
20130828,3247
20130831,3258
20130901,3259
20130903,3222
20130904,3159
20130907,3160
20130908,3210
20130909,3211
20130910,3246
20130911,3301
20130914,3431
20130915,3430
20130916,3430
20130917,3440
20130918,3444
20130921,3447
20130922,3447
